mar_status,empl_status,gender,age
unmarried,"Working, self-employed",F,53
married,Working as paid employee,M,52
married,Working as paid employee,F,48
married,Working as paid employee,M,33
married,Working as paid employee,F,29
married,Working as paid employee,M,40
married,Working as paid employee,F,40
unmarried,"Working, self-employed",M,60
unmarried,"Working, self-employed",F,52
married,Working as paid employee,M,50
married,Working as paid employee,F,50
married,Working as paid employee,M,41
married,Working as paid employee,F,35
married,Working as paid employee,M,46
married,Working as paid employee,F,45
married,Not working - disabled,M,37
married,Not working - disabled,F,46
married,Not working - retired,M,63
married,Not working - retired,F,64
married,Working as paid employee,M,63
married,Working as paid employee,F,63
married,Working as paid employee,M,36
married,Working as paid employee,F,32
married,Not working - retired,M,64
married,Not working - retired,F,63
married,Working as paid employee,M,23
married,Not working - other,F,24
married,"Working, self-employed",M,30
married,Working as paid employee,F,30
married,Working as paid employee,M,48
married,Not working - other,F,48
married,Working as paid employee,M,30
married,Working as paid employee,F,27
married,Working as paid employee,M,54
married,Working as paid employee,F,55
married,Not working - retired,M,61
married,Not working - retired,F,61
married,Working as paid employee,M,39
married,Not working - other,F,36
married,Not working - retired,M,55
married,Working as paid employee,F,52
married,Working as paid employee,M,43
married,Not working - other,F,43
married,Working as paid employee,M,44
married,Working as paid employee,F,42
married,"Working, self-employed",M,33
married,Not working - other,F,32
married,Working as paid employee,M,41
married,Working as paid employee,F,39
married,"Working, self-employed",M,48
married,"Working, self-employed",F,58
married,Not working - retired,M,60
married,Not working - retired,F,54
married,Working as paid employee,M,27
married,Not working - other,F,27
married,Not working - retired,M,56
married,Working as paid employee,F,57
married,Working as paid employee,M,53
married,Working as paid employee,F,46
married,Working as paid employee,M,44
married,"Working, self-employed",F,39
married,Working as paid employee,M,40
married,Not working - other,F,35
married,Not working - looking for work,M,48
married,Not working - other,F,40
married,Not working - other,M,25
married,Working as paid employee,F,26
married,Working as paid employee,M,55
married,Working as paid employee,F,54
married,Working as paid employee,M,32
married,Not working - other,F,27
married,Working as paid employee,M,45
married,Working as paid employee,F,43
unmarried,Working as paid employee,M,38
unmarried,Not working - looking for work,F,31
married,Working as paid employee,M,40
married,Not working - other,F,38
married,Working as paid employee,M,54
married,"Working, self-employed",F,55
married,"Working, self-employed",M,58
married,Working as paid employee,F,55
married,Not working - disabled,M,44
married,Not working - looking for work,F,45
married,Working as paid employee,M,44
married,Working as paid employee,F,40
married,Working as paid employee,M,29
married,Not working - other,F,25
married,"Working, self-employed",M,50
married,Working as paid employee,F,49
married,Working as paid employee,M,42
married,Working as paid employee,F,43
married,Working as paid employee,M,56
married,Not working - other,F,54
married,Working as paid employee,M,42
married,Working as paid employee,F,40
married,Working as paid employee,M,43
married,Not working - other,F,36
married,"Working, self-employed",M,38
married,Not working - other,F,38
married,Working as paid employee,M,39
married,Working as paid employee,F,33
